row_1,row_2,row_3
1.3626578028211392e-05,1.3417262225603177e-05,1.2024320911558122e-05
1.3607728351763022e-05,1.3397928513634109e-05,1.2062328134775108e-05
1.3618417563512685e-05,1.3412420697149075e-05,1.203724663868571e-05
1.359546487646698e-05,1.3402960294157975e-05,1.206944521762863e-05
1.3604351528318041e-05,1.3411343483354404e-05,1.2052258429402179e-05
1.3591571116387717e-05,1.3404887323339065e-05,1.2071375558245691e-05
1.3595855477475772e-05,1.3408529398570155e-05,1.2063489162684377e-05
1.3581657168065641e-05,1.3403094099328173e-05,1.2082990076856023e-05
1.3586546004143755e-05,1.3401774774586182e-05,1.2079466255576703e-05
1.3580761415991989e-05,1.340111666055998e-05,1.2085854896183159e-05
1.3580297272588314e-05,1.3402157875853287e-05,1.2085273486504707e-05
1.357834082997382e-05,1.3401073570063227e-05,1.2088295950398843e-05
1.3579959214140051e-05,1.340418305232265e-05,1.2083583209058857e-05
1.3580017418912565e-05,1.3400057266215857e-05,1.2087651334362972e-05
1.3580723222127692e-05,1.3403195784352977e-05,1.2083813609302458e-05
1.3580071117491326e-05,1.3405927992038242e-05,1.2081727411817704e-05
1.3584049972190134e-05,1.3407839305138697e-05,1.2075874429576372e-05
1.358321885109703e-05,1.3404473099093371e-05,1.2080063989227951e-05
1.3589162823955473e-05,1.3407324477150442e-05,1.2071324189460647e-05
1.3587375037087849e-05,1.3405879411516962e-05,1.2074540333673268e-05
1.3593961424578708e-05,1.3403816413111996e-05,1.2070078499610652e-05
1.3595776760538263e-05,1.3403634610564975e-05,1.2068461931954752e-05
1.3598009895947562e-05,1.340801636344524e-05,1.2061867914089571e-05
1.3597951726955895e-05,1.3408130947910599e-05,1.2061810954980447e-05
1.3614694524463025e-05,1.3397662788154735e-05,1.2055692791972235e-05
1.3610803867114848e-05,1.340397473042094e-05,1.2053235145770581e-05
1.3617060773359076e-05,1.339481444743066e-05,1.2056196998275925e-05
1.3624529941594387e-05,1.3399328114574127e-05,1.2044283968207757e-05
1.3621526642333862e-05,1.3424655205742218e-05,1.2021932108082802e-05
1.3613506832275766e-05,1.343409409542391e-05,1.2020438076963338e-05
1.3626678004745193e-05,1.3421064310162148e-05,1.202041978482548e-05
1.3622089737521004e-05,1.3415406641232019e-05,1.2030622839977701e-05
1.3649127156059185e-05,1.3416111304708319e-05,1.2003133444117784e-05
1.364332957909233e-05,1.3427919904935655e-05,1.1997068237894997e-05
1.3668872094558846e-05,1.3402039108427158e-05,1.1997645234034795e-05
1.3669339312403984e-05,1.3397768446572688e-05,1.2001453044566046e-05
1.3652106551402832e-05,1.3406293450856124e-05,1.200999974744263e-05
1.3653991429541607e-05,1.3397792975395827e-05,1.2016632960447688e-05
1.3654013611177162e-05,1.3398369336546926e-05,1.2016034624966041e-05
1.3643842552344636e-05,1.341837145318413e-05,1.200610851053676e-05
1.3655150098534136e-05,1.3398715309891683e-05,1.201456278564148e-05
1.3651626822313157e-05,1.3410110847478242e-05,1.200665759646075e-05
1.3649290625162373e-05,1.3412583003331566e-05,1.200649980413998e-05
1.3652190514124839e-05,1.3406507488943288e-05,1.2009702531331792e-05
1.3649707392097665e-05,1.3411443014255964e-05,1.2007226921298374e-05
1.365015025438423e-05,1.3414490789899172e-05,1.2003740422268477e-05
1.3651371246606987e-05,1.3408745780897291e-05,1.2008275850189868e-05
1.3649374808135279e-05,1.341076026013615e-05,1.2008239151119244e-05
1.3647918401657079e-05,1.3411906395682621e-05,1.2008535810775474e-05
1.365242908730142e-05,1.3409664501224492e-05,1.2006309175529864e-05
1.3645863881123536e-05,1.3415094958390717e-05,1.200738256747444e-05
1.3649950462471808e-05,1.3413440975096113e-05,1.2004988161769822e-05
1.364903578478812e-05,1.3413043218110207e-05,1.2006292048049848e-05
1.364642120410456e-05,1.3413949495605043e-05,1.2007975915905082e-05
1.365114875488033e-05,1.3411505922188023e-05,1.2005736121263864e-05
1.3652767271607268e-05,1.3413856820488426e-05,1.2001781832561073e-05
